recipe_id,ingredient_id,ingredient_text,recipe_name,description,url,total_time,serving,name,food_category,id,health_id,tag
27,3,1 Cup Plain Greek Yogurt,Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Plain Greek Yogurt,yogurt,662,77,Lupine-Free
27,3,1 Cup Plain Greek Yogurt,Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Plain Greek Yogurt,yogurt,663,78,Mollusk-Free
27,3,1 Cup Plain Greek Yogurt,Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Plain Greek Yogurt,yogurt,664,79,Alcohol-Free
27,3,1 Cup Plain Greek Yogurt,Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Plain Greek Yogurt,yogurt,665,80,No oil added
27,3,1 Cup Plain Greek Yogurt,Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Plain Greek Yogurt,yogurt,666,87,Sulfite-Free
27,3,1 Cup Plain Greek Yogurt,Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Plain Greek Yogurt,yogurt,667,81,Kosher
27,3,1 Cup Plain Greek Yogurt,Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Plain Greek Yogurt,yogurt,668,88,Immuno-Supportive
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,641,83,Low Potassium
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,642,58,Kidney-Friendly
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,643,84,Keto-Friendly
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,644,60,Vegetarian
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,645,61,Pescatarian
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,646,85,Mediterranean
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,647,86,DASH
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,648,63,Gluten-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,649,64,Wheat-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,650,65,Egg-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,651,66,Peanut-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,652,67,Tree-Nut-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,653,68,Soy-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,654,69,Fish-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,655,70,Shellfish-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,656,71,Pork-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,657,72,Red-Meat-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,658,73,Crustacean-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,659,74,Celery-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,660,75,Mustard-Free
27,4,1/2 Cup Grated Cucumber ((Persian is best)),Authentic Greek Tzatziki Dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,https://bitesizedkitchen.com/authentic-greek-tzatziki-dip,0,2,Cucumber,vegetables,661,76,Sesame-Free
